N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
90,씨에스윈드,"178,500","10,500",+6.25%,500,"30,855","17,286",8.15,"275,397",62.24,9.92,
91,GS건설,"37,550","1,800",+5.03%,"5,000","30,107","80,179",27.43,"1,236,372",9.82,11.79,
92,키움증권,"126,500","2,500",+2.02%,"5,000","30,085","23,783",22.45,"163,654",5.58,16.97,
93,대웅,"50,700",200,-0.39%,500,"29,478","58,142",5.47,"1,559,409",58.41,10.43,
94,두산밥캣,"29,400",50,-0.17%,500,"29,473","100,249",20.54,"164,982",15.91,7.05,
95,LG화학우,"379,500","2,500",+0.66%,"5,000","29,179","7,689",60.26,"29,541",35.46,N/A,
96,대우조선해양,"27,050",100,+0.37%,"5,000","29,022","107,291",8.99,"318,709",16.65,-1.22,
97,롯데쇼핑,"102,500","2,000",+1.99%,"5,000","28,996","28,289",11.26,"209,497",-2.16,-8.14,
98,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
99,TIGER 200,"39,430",775,+2.00%,0,"28,725","72,850",7.15,"1,053,993",N/A,N/A,
100,한국가스공사,"30,900",550,+1.81%,"5,000","28,525","92,313",8.66,"418,570",-5.68,0.48,
101,만도,"59,400",500,+0.85%,"1,000","27,893","46,957",26.09,"553,786",-50.30,7.55,
102,CJ,"92,400","1,300",+1.43%,"5,000","26,960","29,177",19.57,"138,878",15.35,6.24,
103,GS리테일,"34,400",50,+0.15%,"1,000","26,488","77,000",14.16,"153,535",15.68,6.25,
104,팬오션,"4,950",70,+1.43%,"1,000","26,461","534,570",11.21,"3,349,451",19.57,5.49,
105,휠라홀딩스,"43,500",300,+0.69%,"1,000","26,427","60,752",47.21,"196,354",14.67,23.81,
106,현대오토에버,"124,000","7,500",+6.44%,500,"26,040","21,000",1.57,"354,267",45.31,11.71,
107,삼성엔지니어링,"13,150",200,+1.54%,"5,000","25,774","196,000",24.97,"1,455,820",10.09,24.62,
108,한국항공우주,"25,650",450,+1.79%,"5,000","25,002","97,475",14.01,"375,668",18.89,15.84,
109,메리츠증권,"3,665",10,-0.27%,"1,000","24,774","675,962",12.55,"3,584,219",4.59,15.06,
110,종근당,"227,500","11,000",+5.08%,"2,500","24,765","10,886",14.63,"1,188,584",26.99,11.94,
111,한샘,"104,000",0,0.00%,"1,000","24,475","23,534",23.34,"33,400",36.52,7.32,
112,신세계,"240,500","6,000",+2.56%,"5,000","23,678","9,845",24.80,"76,780",-7.73,14.24,
113,제일기획,"20,400",50,-0.24%,200,"23,468","115,041",32.23,"243,139",17.29,15.09,
114,일진머티리얼즈,"50,300",200,-0.40%,500,"23,194","46,111",7.80,"250,623",52.18,8.52,
115,BGF리테일,"134,000",500,+0.37%,"1,000","23,160","17,284",30.82,"17,776",17.70,26.46,
116,LS,"71,400",800,-1.11%,"5,000","22,991","32,200",11.95,"158,533",-991.67,0.80,
117,DB하이텍,"51,200","2,050",+4.17%,"5,000","22,732","44,399",27.43,"3,455,579",13.82,17.40,
118,OCI,"94,100","2,300",+2.51%,"5,000","22,442","23,849",20.51,"856,675",-3.04,-26.20,
119,하이트진로,"31,900",100,-0.31%,"5,000","22,373","70,134",8.93,"255,217",30.15,-3.86,
120,한솔케미칼,"196,500","11,500",+6.22%,"5,000","22,195","11,295",38.18,"89,389",18.91,20.88,
121,현대차우,"88,400",0,0.00%,"5,000","21,531","24,357",53.31,"83,899",21.12,N/A,
122,한화생명,"2,445",45,+1.88%,"5,000","21,236","868,530",7.42,"5,231,376",9.30,0.51,
123,KODEX 단기채권,"102,605",5,0.00%,0,"21,188","20,650",2.91,"40,225",N/A,N/A,
124,한화,"28,150",300,+1.08%,"5,000","21,101","74,959",19.33,"476,596",11.47,2.09,
125,오뚜기,"574,000",0,0.00%,"5,000","21,077","3,672",15.98,"3,784",19.39,7.79,
126,대우건설,"4,930",270,+5.79%,"5,000","20,490","415,623",8.16,"20,606,673",10.65,8.80,
127,KODEX 200선물인버스2X,"2,525",115,-4.36%,0,"20,283","803,300",1.70,"218,980,026",N/A,N/A,
128,현대해상,"22,600",0,0.00%,500,"20,204","89,400",37.44,"254,219",5.55,6.23,
129,한올바이오파마,"37,500",0,0.00%,500,"19,590","52,241",7.80,"387,668",99.47,14.90,
130,녹십자홀딩스,"41,050","5,150",+14.35%,500,"19,305","47,028",6.28,"14,423,937",38.80,0.37,
131,현대미포조선,"47,950",200,-0.42%,"5,000","19,152","39,942",12.86,"260,126",41.27,2.31,
132,대웅제약,"165,000",500,+0.30%,"2,500","19,118","11,587",4.86,"423,359","-1,153.85",4.34,
133,한화시스템,"17,150",150,-0.87%,"5,000","18,905","110,230",2.38,"1,133,168",24.29,8.15,
134,LS ELECTRIC,"63,000","1,800",+2.94%,"5,000","18,900","30,000",14.01,"153,336",24.28,7.82,
135,현대로템,"17,100",300,+1.79%,"5,000","18,663","109,142",5.06,"1,979,493",-9.71,-37.93,
136,BNK금융지주,"5,640",30,-0.53%,"5,000","18,383","325,935",36.81,"1,518,258",3.83,7.07,
137,부광약품,"28,350","1,050",+3.85%,500,"18,382","64,838",5.35,"1,312,797","14,175.00",-2.00,
138,농심,"300,000","1,000",-0.33%,"5,000","18,248","6,083",18.44,"31,498",13.46,3.72,
139,포스코인터내셔널,"14,600",50,+0.34%,"5,000","18,013","123,375",11.87,"309,983",8.05,7.06,
140,명신산업,"43,900","2,900",+7.07%,500,"17,902","40,779",1.04,"12,393,193",N/A,53.84,
141,메리츠화재,"14,700",350,-2.33%,500,"17,732","120,625",9.84,"632,879",4.31,12.80,
142,KCC,"195,500","2,000",+1.03%,"5,000","17,373","8,886",11.64,"25,811",-620.63,-4.37,
143,두산인프라코어,"7,970",140,+1.79%,"5,000","17,208","215,913",4.47,"1,450,208",10.28,11.59,
144,HDC현대산업개발,"26,100","1,150",+4.61%,"5,000","17,202","65,907",10.05,"1,146,097",6.48,20.30,
145,TIGER MSCI Korea TR,"16,050",300,+1.90%,0,"17,190","107,100",0.00,"259,104",N/A,N/A,
146,KODEX MSCI Korea TR,"12,750",225,+1.80%,0,"16,996","133,300",9.64,"281,171",N/A,N/A,
147,현대백화점,"71,300",500,+0.71%,"5,000","16,686","23,402",13.64,"165,799",14.61,4.64,
148,아이에스동서,"53,600",200,+0.37%,500,"16,558","30,893",5.42,"97,471",12.92,6.10,
149,현대엘리베이,"39,650",300,+0.76%,"5,000","16,183","40,815",25.04,"178,921",17.76,5.22,
150,효성,"76,400",500,-0.65%,"5,000","16,098","21,071",5.55,"109,183",-35.82,4.25,
151,KODEX 레버리지,"23,510","1,060",+4.72%,0,"15,093","64,200",2.74,"72,512,022",N/A,N/A,
152,솔루스첨단소재,"49,200",700,-1.40%,100,"15,050","30,590",10.62,"353,635",142.20,N/A,
153,LG생활건강우,"711,000","5,000",+0.71%,"5,000","14,929","2,100",84.01,"7,150",15.93,N/A,
154,KODEX 200TR,"12,660",255,+2.06%,0,"14,926","117,900",0.06,"383,909",N/A,N/A,
155,대한유화,"228,500","8,500",+3.86%,"5,000","14,852","6,500",17.61,"136,688",16.73,6.11,
156,영진약품,"8,050",80,+1.00%,500,"14,723","182,893",4.35,"2,530,354","-2,012.50",4.43,
157,NHN,"75,000","2,000",+2.74%,500,"14,674","19,565",11.33,"162,869",49.97,0.78,
158,지누스,"101,500",500,+0.50%,500,"14,623","14,407",22.03,"37,446",20.48,26.32,
159,현대위아,"53,400","5,600",+11.72%,"5,000","14,522","27,195",11.78,"1,576,252",11.54,1.80,
160,KODEX 삼성그룹,"9,890",185,+1.91%,0,"14,479","146,400",0.03,"651,844",N/A,N/A,
